time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-06 09:30:00-05:00,MLTrader,085d829b064f40b09720e389908fb820,GOOG,sell,market,fill,1,gtc,0.0,1,stock,132.89999389648438,1.366785584778289e+28,0.0
2023-12-07 09:30:00-05:00,MLTrader,d282553643494f2a87e54afacc300d58,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-07 09:30:00-05:00,MLTrader,d282553643494f2a87e54afacc300d58,GOOG,sell,market,fill,1,gtc,0.0,1,stock,136.60000610351562,1.7286934413336838e+28,0.0
2023-12-08 09:30:00-05:00,MLTrader,1a54a47531c247a1aabe54280f9194ea,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-08 09:30:00-05:00,MLTrader,1a54a47531c247a1aabe54280f9194ea,GOOG,sell,market,fill,1,gtc,0.0,1,stock,135.66000366210938,2.2628732621375928e+28,0.0
2023-12-11 09:30:00-05:00,MLTrader,df464db01ff54efa959a6c540de2c36f,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-11 09:30:00-05:00,MLTrader,df464db01ff54efa959a6c540de2c36f,GOOG,sell,market,fill,1,gtc,0.0,1,stock,133.82000732421875,2.9821834680530096e+28,0.0
2023-12-12 09:30:00-05:00,MLTrader,7b62951738594d7ba589c8e1216e36af,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-12 09:30:00-05:00,MLTrader,7b62951738594d7ba589c8e1216e36af,GOOG,sell,market,fill,1,gtc,0.0,1,stock,133.27000427246094,3.892838155369732e+28,0.0
2023-12-13 09:30:00-05:00,MLTrader,1395b6a83d3b448a982db7ed20edcfd6,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-13 09:30:00-05:00,MLTrader,1395b6a83d3b448a982db7ed20edcfd6,GOOG,sell,market,fill,1,gtc,0.0,1,stock,134.5449981689453,5.012732796136222e+28,0.0
2023-12-14 09:30:00-05:00,MLTrader,510d63808ccb4286af3073e06b5a50ab,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-14 09:30:00-05:00,MLTrader,510d63808ccb4286af3073e06b5a50ab,GOOG,sell,market,fill,1,gtc,0.0,1,stock,134.77000427246094,6.505672883769347e+28,0.0
2023-12-15 09:30:00-05:00,MLTrader,eea8c006bf76474ea8c311b50c97233b,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-15 09:30:00-05:00,MLTrader,eea8c006bf76474ea8c311b50c97233b,GOOG,sell,market,fill,1,gtc,0.0,1,stock,132.9199981689453,8.575086117548361e+28,0.0
2023-12-18 09:30:00-05:00,MLTrader,f047baa4686745a298d394e4ff89df80,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-18 09:30:00-05:00,MLTrader,f047baa4686745a298d394e4ff89df80,GOOG,sell,market,fill,1,gtc,0.0,1,stock,133.86000061035156,1.1069330297324194e+29,0.0
2023-12-19 09:30:00-05:00,MLTrader,743a2ec686314e588cc42d94fa696b9f,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,MLTrader,743a2ec686314e588cc42d94fa696b9f,GOOG,sell,market,fill,1,gtc,0.0,1,stock,138.0,1.395842556857101e+29,0.0
2023-12-20 09:30:00-05:00,MLTrader,d6ecca964f854249ada0dd0d82a9f195,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,13226a3ea38f486085f67a6c529dec28,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,0529c031e36047a799fd008db9cdb0ef,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.8299964904785,5151392464727.0,0.0
2023-12-20 09:30:00-05:00,MLTrader,140c5229a38a469792976791a63c08ea,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,23bb8221654b4613b216037719e0f475,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.8299964904785,5954668400423.0,0.0
2023-12-20 09:30:00-05:00,MLTrader,06f8b75cb77c470687de6370ca690036,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,52eedb71ae324d7aa68ec27ff47ca09f,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.67475280761718,17025633789571.0,0.0
2023-12-20 09:30:00-05:00,MLTrader,433d05274cf14c709397b13dab354532,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,ef7017d22b8c411c89e1e3d041841245,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.67475280761718,22133323926442.0,0.0
2023-12-20 09:30:00-05:00,MLTrader,4f48783cf4d34728b10cbdbfe8078792,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,1379cbf77e664dbbbf6c8873e51a0a31,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.46199684143065,516434169251869.0,0.0
2023-12-20 09:30:00-05:00,MLTrader,e10de926949e48d1990c506cf7f18482,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,de2c3845d3ab4d3eac94769bc54bb54b,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.6344985961914,9.448847263584066e+24,0.0
2023-12-20 09:30:00-05:00,MLTrader,f4d18c5c6fde4969b3d53e03941c21fb,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,84266cc85cd848f58717f6aef223c0ca,GOOG,buy,stop,fill,1,day,0.0,1,stock,142.6344985961914,1.2280840729273553e+25,0.0
2023-12-20 09:30:00-05:00,MLTrader,d6ecca964f854249ada0dd0d82a9f195,GOOG,sell,market,fill,1,gtc,0.0,1,stock,140.3300018310547,1.7844662683154608e+29,0.0
2023-12-21 09:30:00-05:00,MLTrader,5784837fa5b34613942cd1cdb4558ade,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-21 09:30:00-05:00,MLTrader,5784837fa5b34613942cd1cdb4558ade,GOOG,sell,market,fill,1,gtc,0.0,1,stock,140.77000427246094,2.3124891171466855e+29,0.0
2023-12-22 09:30:00-05:00,MLTrader,505e3e87e9674bc0ba817d8639fed68a,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,6e823114df854c35a7d5927b5276c75f,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,097dac9032244f798ba92bc190cfcf7b,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.16349754333496,48460905632563.0,0.0
2023-12-22 09:30:00-05:00,MLTrader,49f923d397964a19beae2ba4425d4d0e,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,fe579929722b433089d25e48eded529e,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.16349754333496,62999177322332.0,0.0
2023-12-22 09:30:00-05:00,MLTrader,063adef87f0544fea33902095e8f6ac5,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,fbadd3fcbc5e4b5ebfcd8ea3b9a59705,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.14050140380857,1.3525359014227687e+25,0.0
2023-12-22 09:30:00-05:00,MLTrader,505e3e87e9674bc0ba817d8639fed68a,GOOG,sell,market,fill,1,gtc,0.0,1,stock,142.1300048828125,2.9774700572191505e+29,0.0
2023-12-26 08:30:00-05:00,MLTrader,838d5fbac2ce4dd09773cb4189b3b890,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-26 08:30:00-05:00,MLTrader,def475153e1545f699d46a13fd77e03b,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.66950035095215,7695835539581.0,0.0
2023-12-26 08:30:00-05:00,MLTrader,88edaf6571f5460485f5802affa64e4f,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-26 08:30:00-05:00,MLTrader,fada79ab6d0f4e3c86e3a335c77e6e7b,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.89949684143065,7.474435782929269e+16,0.0
2023-12-26 08:30:00-05:00,MLTrader,8b3c4cf0e75d4c8daed5e5d8489c3225,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-26 08:30:00-05:00,MLTrader,93f9a090a44643a685845390baa16fd9,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.89949684143065,9.71676651780805e+16,0.0
2023-12-26 08:30:00-05:00,MLTrader,c4675d219271456883932da0c1288c92,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-26 08:30:00-05:00,MLTrader,d2bb54c682f5430cb419eb54b1334e5b,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.6407485961914,1.2654550846151091e+17,0.0
2023-12-26 08:30:00-05:00,MLTrader,6a8eb0fb7a174bb281716c675391a671,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-26 08:30:00-05:00,MLTrader,e58055ad025744c080f93c4d6ebea2de,GOOG,buy,stop,fill,1,day,0.0,1,stock,143.50850105285645,1.646607613040488e+17,0.0
2023-12-26 09:30:00-05:00,MLTrader,393bb12ad69f4f06a09609dc36589039,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-26 09:30:00-05:00,MLTrader,393bb12ad69f4f06a09609dc36589039,GOOG,sell,market,fill,1,gtc,0.0,1,stock,142.97999572753906,3.8476597584350604e+29,0.0
2023-12-27 09:30:00-05:00,MLTrader,4ba2249db5064e91b5fa86aea4adf142,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-27 09:30:00-05:00,MLTrader,4ba2249db5064e91b5fa86aea4adf142,GOOG,sell,market,fill,1,gtc,0.0,1,stock,142.8300018310547,5.007210525801395e+29,0.0
2023-12-28 09:30:00-05:00,MLTrader,cc3c567138264c4892f269296236dd59,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-28 09:30:00-05:00,MLTrader,cc3c567138264c4892f269296236dd59,GOOG,sell,market,fill,1,gtc,0.0,1,stock,141.85000610351562,6.554344837044415e+29,0.0
2023-12-29 09:30:00-05:00,MLTrader,e6a5467c808c4de3aa0c48d11fa25d17,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-29 09:30:00-05:00,MLTrader,e6a5467c808c4de3aa0c48d11fa25d17,GOOG,sell,market,fill,1,gtc,0.0,1,stock,140.67999267578125,8.591513183161836e+29,0.0
