Month,Asset Name,Open,Close,High,Low,Volume,Dividends,Splits,Date of High,Date of Low,Percent Change,PE Ratio,Beta
2004-05,BOUYGUES,10.242179239481892,10.195295333862305,10.555936802377298,9.647121542150325,32711742,,,2004-05-05 00:00:00+02:00,2004-05-17 00:00:00+02:00,-0.77219267299663,13.036101,0.865
2004-06,BOUYGUES,10.137592585944217,9.924816131591797,10.35397778311694,9.881539015123138,23594056,,,2004-06-16 00:00:00+02:00,2004-06-30 00:00:00+02:00,-2.6529805504716175,13.036101,0.865
2004-07,BOUYGUES,9.971697803957875,10.072678565979004,10.137593897021008,9.355004669309487,22723226,,,2004-07-30 00:00:00+02:00,2004-07-23 00:00:00+02:00,1.4898254277632805,13.036101,0.865
2004-08,BOUYGUES,10.0798928001529,10.202509880065918,10.361189510750979,9.574994073582545,20492286,,,2004-08-27 00:00:00+02:00,2004-08-11 00:00:00+02:00,1.2889452714735183,13.036101,0.865
2004-09,BOUYGUES,10.170051231038702,10.891329765319824,11.050010891767219,9.946452484845459,25150089,,,2004-09-30 00:00:00+02:00,2004-09-02 00:00:00+02:00,6.751474816993319,13.036101,0.865
2004-10,BOUYGUES,10.98870439261301,11.136565208435059,11.432291342235777,10.790351590014655,22432948,,,2004-10-07 00:00:00+02:00,2004-10-27 00:00:00+02:00,2.2516574963703073,13.036101,0.865
2004-11,BOUYGUES,11.132959103929805,11.670313835144043,12.117507187042571,11.114926687968557,19817518,,,2004-11-15 00:00:00+01:00,2004-11-01 00:00:00+01:00,4.7927580606694775,13.036101,0.865
2004-12,BOUYGUES,11.637855863392478,12.261764526367188,12.35552881476436,11.540481940736694,27178031,,,2004-12-30 00:00:00+01:00,2004-12-06 00:00:00+01:00,5.067993025534978,13.036101,0.865
2005-01,BOUYGUES,12.301432980178646,11.822436332702637,12.708958205857675,11.310984907075802,32218514,,,2005-01-06 00:00:00+01:00,2005-01-24 00:00:00+01:00,-3.582911682244738,13.036101,0.865
2005-02,BOUYGUES,11.802767603850562,12.880751609802246,12.884686885495817,11.731950878163497,23374490,,,2005-02-18 00:00:00+01:00,2005-02-01 00:00:00+01:00,8.951752814029955,13.036101,0.865
2005-03,BOUYGUES,12.80206501105037,12.030954360961914,12.935829729388782,11.822436864329823,21357033,,,2005-03-01 00:00:00+01:00,2005-03-22 00:00:00+01:00,-6.597419735923149,13.036101,0.865
2005-04,BOUYGUES,12.058494075405095,12.631699562072754,12.652178658627774,11.716213838397193,28409017,,,2005-04-29 00:00:00+02:00,2005-04-27 00:00:00+02:00,4.993329565442783,13.036101,0.865
2005-05,BOUYGUES,12.676756681899851,13.132453918457031,13.338241764064307,12.41461961065356,19376985,,,2005-05-18 00:00:00+02:00,2005-05-03 00:00:00+02:00,3.964267467917093,13.036101,0.865
2005-06,BOUYGUES,13.13245400559208,14.388164520263672,14.606546543917332,12.788077354431152,36975305,,,2005-06-29 00:00:00+02:00,2005-06-09 00:00:00+02:00,9.561888506167149,13.036101,0.865
2005-07,BOUYGUES,14.346170070970675,15.165109634399414,15.307899429540813,13.997591987739789,24683889,,,2005-07-29 00:00:00+02:00,2005-07-07 00:00:00+02:00,5.3998903963151434,13.036101,0.865
2005-08,BOUYGUES,15.165109641429034,15.181909561157227,15.786664745359158,15.039119015641152,23351052,,,2005-08-18 00:00:00+02:00,2005-08-25 00:00:00+02:00,0.11078012070353527,13.036101,0.865
2005-09,BOUYGUES,15.286902258469619,16.240230560302734,16.336824417114258,15.060114496686522,20333141,,,2005-09-26 00:00:00+02:00,2005-09-15 00:00:00+02:00,6.970934683033625,13.036101,0.865
2005-10,BOUYGUES,16.2528336303256,17.2901554107666,17.340552938830793,15.564078754139869,27403813,,,2005-10-31 00:00:00+01:00,2005-10-21 00:00:00+02:00,6.464962714447431,13.036101,0.865
2005-11,BOUYGUES,17.260758454757184,17.04657745361328,17.920110160951864,16.89118617748176,29939333,,,2005-11-03 00:00:00+01:00,2005-11-01 00:00:00+01:00,-1.4087667309320095,13.036101,0.865
2005-12,BOUYGUES,17.428744577098197,17.344751358032227,17.731125916541135,16.7987947838809,20247692,,,2005-12-12 00:00:00+01:00,2005-12-06 00:00:00+01:00,1.749171675254635,13.036101,0.865
2006-01,BOUYGUES,17.290155785952543,18.94903564453125,19.079226021898783,17.084370826360626,28412729,,,2006-01-27 00:00:00+01:00,2006-01-03 00:00:00+01:00,9.249393395057748,13.036101,0.865
2006-02,BOUYGUES,18.8986422357426,18.503868103027344,19.398405473483535,18.340084079781377,19999135,,,2006-02-07 00:00:00+01:00,2006-02-22 00:00:00+01:00,-2.34928863850854,13.036101,0.865
2006-03,BOUYGUES,18.47866481687942,18.41567611694336,19.045632041589222,17.50013826706907,28785386,,,2006-03-27 00:00:00+02:00,2006-03-03 00:00:00+01:00,-0.4766137847121543,13.036101,0.865
2006-04,BOUYGUES,18.419872586159094,18.1636905670166,18.814649527977007,17.00877723704953,28326449,,,2006-04-05 00:00:00+02:00,2006-04-12 00:00:00+02:00,-1.3683209257514983,13.036101,0.865
2006-05,BOUYGUES,18.201489169745138,18.18901824951172,20.333951159006013,17.45974426807275,45524035,,,2006-05-09 00:00:00+02:00,2006-05-22 00:00:00+02:00,0.13944127930207717,13.036101,0.865
2006-06,BOUYGUES,18.27481308652106,17.245248794555664,18.56652955582192,16.134173219802246,35041496,,,2006-06-05 00:00:00+02:00,2006-06-14 00:00:00+02:00,-5.188677266742481,13.036101,0.865
2006-07,BOUYGUES,17.631336915480606,16.769075393676758,17.717134505885845,15.464954880940136,26353957,,,2006-07-03 00:00:00+02:00,2006-07-17 00:00:00+02:00,-2.7611860318839554,13.036101,0.865
2006-08,BOUYGUES,16.82484271163493,17.631338119506836,17.747162504450852,16.413015268041995,26228471,,,2006-08-30 00:00:00+02:00,2006-08-11 00:00:00+02:00,5.1419813292461924,13.036101,0.865
2006-09,BOUYGUES,17.601306829650945,18.094642639160156,18.15470046056985,17.45974182328637,26652614,,,2006-09-29 00:00:00+02:00,2006-09-12 00:00:00+02:00,2.6277331675735427,13.036101,0.865
2006-10,BOUYGUES,18.1890204562223,19.59609603881836,20.033662326273895,17.918763320130502,33054691,,,2006-10-23 00:00:00+02:00,2006-10-04 00:00:00+02:00,8.297778682894673,13.036101,0.865
2006-11,BOUYGUES,19.600381348427767,19.231456756591797,20.21812352476203,18.79389258211149,29750180,,,2006-11-16 00:00:00+01:00,2006-11-28 00:00:00+01:00,-1.8607751334972056,13.036101,0.865
